EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, DRESDEN WAHNSDORF (STAID: 43).
Blended and updated with sources: 115681 115739 910488 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
115739,19170101,-9999,    9
115739,19170102,-9999,    9
115739,19170103,-9999,    9
115739,19170104,-9999,    9
115739,19170105,-9999,    9
115739,19170106,-9999,    9
115739,19170107,-9999,    9
115739,19170108,-9999,    9
115739,19170109,-9999,    9
115739,19170110,-9999,    9
115739,19170111,-9999,    9
115739,19170112,-9999,    9
115739,19170113,-9999,    9
115739,19170114,-9999,    9
115739,19170115,-9999,    9
115739,19170116,-9999,    9
115739,19170117,-9999,    9
115739,19170118,-9999,    9
115739,19170119,-9999,    9
115739,19170120,-9999,    9
115739,19170121,-9999,    9
115739,19170122,-9999,    9
115739,19170123,-9999,    9
115739,19170124,-9999,    9
115739,19170125,-9999,    9
115739,19170126,-9999,    9
115739,19170127,-9999,    9
115739,19170128,-9999,    9
115739,19170129,-9999,    9
115739,19170130,-9999,    9
115739,19170131,-9999,    9
115739,19170201,-9999,    9
115739,19170202,-9999,    9
115739,19170203,-9999,    9
115739,19170204,-9999,    9
115739,19170205,-9999,    9
115739,19170206,-9999,    9
115739,19170207,-9999,    9
115739,19170208,-9999,    9
115739,19170209,-9999,    9
115739,19170210,-9999,    9
115739,19170211,-9999,    9
115739,19170212,-9999,    9
115739,19170213,-9999,    9
115739,19170214,-9999,    9
115739,19170215,-9999,    9
115739,19170216,-9999,    9
115739,19170217,-9999,    9
115739,19170218,-9999,    9
115739,19170219,-9999,    9
115739,19170220,-9999,    9
115739,19170221,-9999,    9
115739,19170222,-9999,    9
115739,19170223,-9999,    9
115739,19170224,-9999,    9
115739,19170225,-9999,    9
115739,19170226,-9999,    9
115739,19170227,-9999,    9
115739,19170228,-9999,    9
115739,19170301,-9999,    9
115739,19170302,-9999,    9
115739,19170303,-9999,    9
115739,19170304,-9999,    9
115739,19170305,-9999,    9
115739,19170306,-9999,    9
115739,19170307,-9999,    9
115739,19170308,-9999,    9
115739,19170309,-9999,    9
115739,19170310,-9999,    9
115739,19170311,-9999,    9
115739,19170312,-9999,    9
115739,19170313,-9999,    9
115739,19170314,-9999,    9
115739,19170315,-9999,    9
115739,19170316,-9999,    9
115739,19170317,-9999,    9
115739,19170318,-9999,    9
115739,19170319,-9999,    9
115739,19170320,-9999,    9
115739,19170321,-9999,    9
115739,19170322,-9999,    9
115739,19170323,-9999,    9
115739,19170324,-9999,    9
115739,19170325,-9999,    9
115739,19170326,-9999,    9
115739,19170327,-9999,    9
115739,19170328,-9999,    9
115739,19170329,-9999,    9
115739,19170330,-9999,    9
115739,19170331,-9999,    9
115739,19170401,-9999,    9
115739,19170402,-9999,    9
115739,19170403,-9999,    9
115739,19170404,-9999,    9
115739,19170405,-9999,    9
115739,19170406,-9999,    9
115739,19170407,-9999,    9
115739,19170408,-9999,    9
115739,19170409,-9999,    9
115739,19170410,-9999,    9
115739,19170411,-9999,    9
115739,19170412,-9999,    9
115739,19170413,-9999,    9
115739,19170414,-9999,    9
115739,19170415,-9999,    9
115739,19170416,-9999,    9
115739,19170417,-9999,    9
115739,19170418,-9999,    9
115739,19170419,-9999,    9
115739,19170420,-9999,    9
115739,19170421,-9999,    9
115739,19170422,-9999,    9
115739,19170423,-9999,    9
115739,19170424,-9999,    9
115739,19170425,-9999,    9
115739,19170426,-9999,    9
115739,19170427,-9999,    9
115739,19170428,-9999,    9
115739,19170429,-9999,    9
115739,19170430,-9999,    9
115739,19170501,-9999,    9
115739,19170502,-9999,    9
115739,19170503,-9999,    9
115739,19170504,-9999,    9
115739,19170505,-9999,    9
115739,19170506,-9999,    9
115739,19170507,-9999,    9
115739,19170508,-9999,    9
115739,19170509,-9999,    9
115739,19170510,-9999,    9
115739,19170511,-9999,    9
115739,19170512,-9999,    9
115739,19170513,-9999,    9
115739,19170514,-9999,    9
115739,19170515,-9999,    9
115739,19170516,-9999,    9
115739,19170517,-9999,    9
115739,19170518,-9999,    9
115739,19170519,-9999,    9
115739,19170520,-9999,    9
115739,19170521,-9999,    9
115739,19170522,-9999,    9
115739,19170523,-9999,    9
115739,19170524,-9999,    9
115739,19170525,-9999,    9
115739,19170526,-9999,    9
115739,19170527,-9999,    9
115739,19170528,-9999,    9
115739,19170529,-9999,    9
115739,19170530,-9999,    9
115739,19170531,-9999,    9
115739,19170601,-9999,    9
115739,19170602,-9999,    9
115739,19170603,-9999,    9
115739,19170604,-9999,    9
115739,19170605,-9999,    9
115739,19170606,-9999,    9
115739,19170607,-9999,    9
115739,19170608,-9999,    9
115739,19170609,-9999,    9
115739,19170610,-9999,    9
115739,19170611,-9999,    9
115739,19170612,-9999,    9
115739,19170613,-9999,    9
115739,19170614,-9999,    9
115739,19170615,-9999,    9
115739,19170616,-9999,    9
115739,19170617,-9999,    9
115739,19170618,-9999,    9
115739,19170619,-9999,    9
115739,19170620,-9999,    9
115739,19170621,-9999,    9
115739,19170622,-9999,    9
115739,19170623,-9999,    9
115739,19170624,-9999,    9
115739,19170625,-9999,    9
115739,19170626,-9999,    9
115739,19170627,-9999,    9
115739,19170628,-9999,    9
115739,19170629,-9999,    9
115739,19170630,-9999,    9
115739,19170701,-9999,    9
115739,19170702,-9999,    9
115739,19170703,-9999,    9
115739,19170704,-9999,    9
115739,19170705,-9999,    9
115739,19170706,-9999,    9
115739,19170707,-9999,    9
115739,19170708,-9999,    9
115739,19170709,-9999,    9
115739,19170710,-9999,    9
115739,19170711,-9999,    9
115739,19170712,-9999,    9
115739,19170713,-9999,    9
115739,19170714,-9999,    9
115739,19170715,-9999,    9
115739,19170716,-9999,    9
115739,19170717,-9999,    9
115739,19170718,-9999,    9
115739,19170719,-9999,    9
115739,19170720,-9999,    9
115739,19170721,-9999,    9
115739,19170722,-9999,    9
115739,19170723,-9999,    9
115739,19170724,-9999,    9
115739,19170725,-9999,    9
115739,19170726,-9999,    9
115739,19170727,-9999,    9
115739,19170728,-9999,    9
115739,19170729,-9999,    9
115739,19170730,-9999,    9
115739,19170731,-9999,    9
115739,19170801,-9999,    9
115739,19170802,-9999,    9
115739,19170803,-9999,    9
115739,19170804,-9999,    9
115739,19170805,-9999,    9
115739,19170806,-9999,    9
115739,19170807,-9999,    9
115739,19170808,-9999,    9
115739,19170809,-9999,    9
115739,19170810,-9999,    9
115739,19170811,-9999,    9
115739,19170812,-9999,    9
115739,19170813,-9999,    9
115739,19170814,-9999,    9
115739,19170815,-9999,    9
115739,19170816,-9999,    9
115739,19170817,-9999,    9
115739,19170818,-9999,    9
115739,19170819,-9999,    9
115739,19170820,-9999,    9
115739,19170821,-9999,    9
